dataset,msar_order,msar_train_rmse,msar_val_rmse,msar_val_rmse_std,msar_n_instances,msar_regime_acc,noise_rmse,oracle_model_rmse
A1_ar2_coeffs_easy,2.0,0.6982101231339063,0.7058708501351284,0.1088047648881307,30,0.7277936962750716,0.723675332413155,
A2_ar2_coeffs_hard,2.0,0.6786715048074903,0.6920015600984526,0.0644596795424418,30,0.7750716332378224,0.7475236032134968,
A3_ar2_coeffs_plus_var,2.0,0.6678074967851263,0.6591165702003409,0.1806219445975168,30,0.8710601719197708,0.6406919346146966,
B1_ar2_variance,2.0,0.7293105713657881,0.7509439871146709,0.1547843357245232,30,0.828080229226361,0.765020625486843,
B2_ar2_variance_big,2.0,0.7368305213109322,0.7972541021378264,0.321864295343046,30,0.9297994269340976,0.7506807219610083,
C1_arma21_coeffs_var,10.0,0.5031132448103403,0.536538032727206,0.1105223035367397,30,0.8246376811594203,0.5955704799882446,
D1_arima211,3.0,0.0435920916613305,0.0449908043967697,0.0155617874354405,13,0.6829268292682927,0.0592437843271368,0.0570266032416738
D3_arima210,3.0,0.0733166983031302,0.0764974527249966,0.0295067978149306,22,0.6743185078909613,0.0598184469491632,0.0603522676887923
E1_drift_only,1.0,0.9918128312754636,1.0808204331291038,0.0803870693068594,30,0.6223175965665236,0.9211207948894669,
E2_level_shift,1.0,0.8845781415367928,0.8923975842435321,0.1724304266049651,30,0.6680972818311874,0.8190505119897743,
F1_seasonal_sarimax,3.0,0.4573949343081021,0.6259807338615996,0.1637237019037913,28,0.5581061692969871,0.0694635519392808,
F2_seasonal_exog,8.0,0.0372772423607967,0.0501507480556852,0.0198733560892144,14,0.6286127167630058,0.0068167966617338,
G1_exogenous_only,1.0,0.7331859687694771,0.738176955374411,0.2322316029789242,29,0.5164520743919886,0.7078609342023889,
H3_ar4_coeffs,4.0,0.7746202351580909,0.7901494774049261,0.068299621948761,30,0.6522988505747126,0.9037463455529648,
D2_arima221,,,,,0,,,
H4_ar6_coeffs,6.0,0.7678437360671083,0.7904669936248893,0.06648551565479376,30,0.7146974063400576,0.865541811643149,
H1_ar10_coeffs,10.0,0.7263231009303192,0.7795296945530581,0.0946799184854817,30,0.6884057971014492,0.9196674471293559,
H2_ar1_near_unit_root,1.0,0.2856159320504656,0.2918780341955381,0.08043511784771974,30,0.7567954220314735,0.3368857771560003,
S1_sparse_switching,2.0,0.6825149985756676,0.7001379537622314,0.08562813965495664,30,0.8681948424068768,0.6747266897668996,
S2_frequent_switching,2.0,0.6269885277756896,0.6458231891294645,0.03692778308253542,30,0.5587392550143266,0.6695645252328317,
NS0_A1_no_switch_regime0,2.0,0.7373978804404437,0.7568468907952121,0.10940562827325426,30,0.8925501432664756,0.8625204500906731,
NS1_A1_no_switch_regime1,2.0,0.49470324556522893,0.5015408831790741,0.026889481156729386,30,1.0,0.5406559865318952,
SW1_A1_single_switch,2.0,0.5775779437241896,0.5830597482423491,0.093343330768123,30,0.9914040114613181,0.5717261473713766,
